UNIT_NAME,UNIT_TYPE,PARKNAME
American Memorial Park,Park,American Memorial Park
Ebey's Landing National Historical Reserve,National Historical Reserve,Ebey's Landing
Lake Roosevelt National Recreation Area,National Recreation Area,Lake Roosevelt
Lewis and Clark National Historical Park,National Historical Park,Lewis and Clark
Olympic National Park,National Park,Olympic
Santa Monica Mountains National Recreation Area,National Recreation Area,Santa Monica Mountains
Tule Springs Fossil Beds National Monument,National Monument,Tule Springs Fossil Beds
Acadia National Park,National Park, 
Ala Kahakai National Historic Trail,National Historic Trail, 
Amistad National Recreation Area,National Recreation Area, 
Appalachian National Scenic Trail,National Scenic Trail, 
Assateague Island National Seashore,National Seashore, 
Big Cypress National Preserve,National Preserve, 
Big South Fork National River and Recreation Area,National River and Recreation Area, 
Blue Ridge Parkway,Parkway, 
Bluestone National Scenic River,National Scenic River, 
Cape Hatteras National Seashore,National Seashore, 
Cape Lookout National Seashore,National Seashore, 
Chattahoochee River National Recreation Area,National Recreation Area, 
Chickamauga and Chattanooga National Military Park,National Military Park, 
Chesapeake and Ohio Canal National Historical Park,National Historical Park, 
Cumberland Island National Seashore,National Seashore, 
Everglades National Park,National Park, 
Fire Island National Seashore,National Seashore, 
Fort Raleigh National Historic Site,National Historic Site, 
Gauley River National Recreation Area,National Recreation Area, 
Great Smoky Mountains National Park,National Park, 
Independence National Historical Park,National Historical Park, 
Isle Royale National Park,National Park, 
Lake Meredith National Recreation Area,National Recreation Area, 
Lowell National Historical Park,National Historical Park, 
Mississippi National River and Recreation Area,National River and Recreation Area, 
Nez Perce National Historical Park,National Historical Park, 
New River Gorge National River,National River, 
Obed Wild and Scenic River,Wild and Scenic River, 
Poverty Point National Monument,National Monument, 
Redwood National Park,National Park, 
Rio Grande Wild and Scenic River,Wild and Scenic River, 
San Juan National Historic Site,National Historic Site, 
Shenandoah National Park,National Park, 
Shiloh National Battlefield,National Battlefield, 
Sleeping Bear Dunes National Lakeshore,National Lakeshore, 
